codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813009,Alavanca,55,Cirley,18/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,10,Pivo e Furadeiras,18/09/2025 00:00:00,,
813270,Carcaça BV3 superior,4,Pivo,18/09/2025 00:00:00,,
813265,Carcaça New BV superior,30,Furadeiras,18/09/2025 00:00:00,,
813310,Cilindro da chave,5,Pivo,18/09/2025 00:00:00,,
813096,Engrenagem ext DZ nova,19,Roginei,18/09/2025 00:00:00,,
813281,Suporte orelha do BV,2,Pivo,18/09/2025 00:00:00,,
813033,Tampa da ventoinha,6,Pivo,18/09/2025 00:00:00,,
813025,Ventoinha,15,Pivo,18/09/2025 00:00:00,,
813245,Alavanca industrial,5,Cirley,18/09/2025 00:00:00,,
813262,Acoplamento New BV,58,Pivo,22/09/2025 00:00:00,,
813310,Cilindro da chave,47,Pivo,22/09/2025 00:00:00,,
813280,Cruzeta,4,Acionamento,22/09/2025 00:00:00,,
813316,Porca fêmea,81,Acionamento,22/09/2025 00:00:00,,
813315,Porca macho,55,Acionamento,22/09/2025 00:00:00,,
813033,Tampa da ventoinha,20,Pivo,22/09/2025 00:00:00,,
813025,Ventoinha,58,Pivo,22/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,17,Pivo,23/09/2025 00:00:00,,
813270,Carcaça BV3 superior,13,Pivo,23/09/2025 00:00:00,,
813096,Engrenagem ext DZ nova,26,Roginei,23/09/2025 00:00:00,,
813128,Gomo alumínio industrial,70,Cremalheiras,23/09/2025 00:00:00,,
813281,Suporte orelha do BV,7,Pivo,23/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,7,Pivo,26/09/2025 00:00:00,,
813270,Carcaça BV3 superior,11,Pivo,26/09/2025 00:00:00,,
813310,Cilindro da chave,57,Pivo,26/09/2025 00:00:00,,
813281,Suporte orelha do BV,10,Pivo,26/09/2025 00:00:00,,
813033,Tampa da ventoinha,6,Pivo,26/09/2025 00:00:00,,
813025,Ventoinha,12,Pivo,26/09/2025 00:00:00,,
813262,Acoplamento New BV,376,Acionamento,29/09/2025 00:00:00,,
813239,Aranha inferior,3,DZ,29/09/2025 00:00:00,,
813238,Aranha superior,3,DZ,29/09/2025 00:00:00,,
813199,Base de alumínio DZ,2,DZ,29/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,4,Pivo,29/09/2025 00:00:00,,
813270,Carcaça BV3 superior,4,Pivo,29/09/2025 00:00:00,,
813310,Cilindro da chave,36,Pivo,29/09/2025 00:00:00,,
813096,Engrenagem ext DZ nova,37,Montagem,29/09/2025 00:00:00,,
701157,Engrenagem interna industrial,1,Montagem,29/09/2025 00:00:00,,
813281,Suporte orelha do BV,6,Pivo,29/09/2025 00:00:00,,
813171,Base do Pivo,2,Pivo,02/10/2025 00:00:00,,
813521,Borboleta,5,Pivo,02/10/2025 00:00:00,,
813271,Carcaça BV3 inferior,98,Pivo e Furadeiras,02/10/2025 00:00:00,,
813270,Carcaça BV3 superior,56,Pivo e Furadeiras,02/10/2025 00:00:00,,
813258,Carcaça New BV inferior,4,Furadeiras,02/10/2025 00:00:00,,
813265,Carcaça New BV superior,23,Furadeiras,02/10/2025 00:00:00,,
813310,Cilindro da chave,15,Pivo,02/10/2025 00:00:00,,
813251,Sem fim alumínio,470,Motor DZ,02/10/2025 00:00:00,,
813281,Suporte orelha do BV,3,Pivo,02/10/2025 00:00:00,,
813033,Tampa da ventoinha,5,Motor DZ,02/10/2025 00:00:00,,
813256,Tampa do New BV,2,NBV,02/10/2025 00:00:00,,
