id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
15,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Placa,placa,Nacional,,,0,
16,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Base,base,Nacional,,,0,
17,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Tampa,tampa,Nacional,,,0,
18,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Manual,manual,Nacional,,,0,
19,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Cilindro e chave,cilindro_e_chave,Nacional,,,0,
20,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
12,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Estator,estator,Nacional,,,0,
13,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Sem fim,sem_fim,Nacional,,,0,
14,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Engrenagem,engrenagem,Nacional,,,0,
15,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Capacitor,capacitor,Nacional,,,0,
16,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Placa,placa,Nacional,,,0,
17,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Base,base,Nacional,,,0,
