CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2008015,CONJ. MOVIMENTADOR TRINO BV3 SPEED 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008016,CONJ. MOVIMENTADOR TRINO BV3 SPEED 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2008017,CONJ. MOVIMENTADOR TRINO BV4 SPEED 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008018,CONJ. MOVIMENTADOR TRINO BV4 SPEED 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2008040,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO - CONDOMINIAL 100,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2008046,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO - CONDOMINIAL 200,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2008056,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008057,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2008058,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008059,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2008060,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO BELPORTAS,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008061,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO BELPORTAS,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2013003,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008022,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P28 50HZ 220V COM SEM FIM BV 2 ENT,12UF,0
2008025,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,12UF,0
2013001,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/4 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2007042,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 0,50M - DUPLO EX",DUPLO,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2013002,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/4 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2013004,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 220V SEM ACIONAMENTO,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2013005,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,12UF,0
2008024,CONJ. MOVIMENTADOR TRINO BV3 SPEED 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,12UF,0
2001156,"KIT DESLIZANTE HORIZONTAL 1/3 HP 3,25MTS 220v - EX",FLEX,PRETA BV,P33 50HZ COM SEM FIM BV 2 ENT,12UF,0
2007084,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,75M - DUPLO TECLAM EX",DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007085,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 0,75M - DUPLO BBS EX",DUPLO,PRETA PIVO,P28 50HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
813461,"TUBO DE INOX CORTADO PARA PIVO 1,5M",,,,,
813459,"TUBO DE INOX CORTADO PARA PIVO 0,75M",,,,,
813460,"TUBO DE INOX CORTADO PARA PIVO 1,0M",,,,,
813458,"TUBO DE INOX CORTADO PARA PIVO 0,50M",,,,,
2007077,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,50M EX",FLEX,PRETA PIVO,P33 50HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007086,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO,FLEX,PRETA PIVO,P33 60HZ 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,DUPLA,PRETA PIVO,P33 60HZ 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007088,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO,FLEX,PRETA PIVO,P33 60HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,DUPLA,PRETA PIVO,P33 60HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
